"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Ariel Toz Çamaşır Deterjanı Parlak Renkler 26 Yıkama (4 kg)","Ev Bakım","Çamaşır","Oda Koşulları","","2","₺48,99","","Aktif"
"Ozmo Egg (20 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","144","₺6,00","","Aktif"
"Nutymax Antep Fıstıklı Gofret (44 g)","Atıştırmalık","Gofret","Oda Koşulları","360","64","₺4,40","","Aktif"
"Dardanel Konserve Kinoalı Ton Balığı (185 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1065","6","₺14,90","","Aktif"
"Red Bull Enerji İçeceği Nar (250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","365","10","₺8,35","","Aktif"
"Red Bull Enerji İçeceği (6 x 250 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","365","1","₺48,45","","Aktif"
"Jacobs Monarch Filtre Kahve (2 x 250 g)","Su & İçecek","Kahve","Oda Koşulları","549","6","₺74,50","","Aktif"
"Kotex Ultra Ped Double Gece (12'li)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","48","₺17,65","","Aktif"
"Activex Antibakteriyel Islak Mendil Aktif (50 Yaprak)","Kişisel Bakım","Islak Havlu","Oda Koşulları","","15","₺15,55","","Aktif"
"Arko Nem Soft Touch Bakım Kremi (60 ml)","Kişisel Bakım","Vücut & El Bakım","Oda Koşulları","","23","₺15,95","","Aktif"
"Teksüt Lor Peyniri (500 g)","Süt & Kahvaltı","Peynir","+4","180","9","₺7,65","","Aktif"
"Pepita Yaban Mersini (125 g)","Meyve & Sebze","Meyve","+4","7","8","₺22,45","","Aktif"
"Hürriyet Daily News","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","","3","₺4,00","","Aktif"
"Ülker Haylayf Mini Bisküvi (3 x 150 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","1","₺7,30","","İnaktif"
"Simit Sarayı Simit (2 x 100 g)","Fırından","Taze Fırın","-18","365","2","₺4,75","","Aktif"
"Oba Burgu Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","720","19","₺4,15","","Aktif"
"Oba Spagetti Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","720","17","₺4,15","","Aktif"
"Oba Fiyonk Makarna (500 g)","Temel Gıda","Makarna","Oda Koşulları","","19","₺4,15","","Aktif"
"Colgate Total Profesyonel Nefes Sağlığı Diş Macunu (2 x 75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","10","₺45,90","","Aktif"
"Pürsu Cam Şişe Su (6 x 750 ml)","Su & İçecek","Su","Oda Koşulları","365","1","₺31,95","","İnaktif"
"Krabi Fıstık ve Karamelize Bisküvi Parçacıklı Kakaolu Fındık Kreması Portakal Aromalı (300 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","5","₺32,90","","Aktif"
"Krabi Fıstık ve Karamelize Bisküvi Parçacıklı Kakaolu Fındık Kreması Muz Aromalı (300 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","6","₺32,90","","Aktif"
"Krabi Fıstık ve Karamelize Bisküvi Parçacıklı Kakaolu Fındık Kreması (300 g)","Atıştırmalık","Sürülebilir","Oda Koşulları","365","9","₺32,90","","Aktif"
"Sensodyne Hızlı Rahatlama Beyazlatıcı Diş Macunu (2 x 75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","8","₺50,90","","Aktif"
"Doğadan Seramik Kupa (1 Adet)","Su & İçecek","Çay","Oda Koşulları","","2","₺14,90","","İnaktif"
"Duracell Powerbank (10050 mAh)","Teknoloji","Şarj Aleti & Kablo","Oda Koşulları","","4","₺199,00","","Aktif"
"Taşköprü Sarımsağı (250 g)","Meyve & Sebze","Sebze","Oda Koşulları","120","13","₺5,95","","Aktif"
"Fide İlikli Kemik Suyu (480 ml)","Temel Gıda","Çorba","Oda Koşulları","540","5","₺10,85","","Aktif"
"Lay's Fırından Süzme Yoğurt ve Acılı Domates (96 g)","Atıştırmalık","Cips","Oda Koşulları","150","14","₺6,39","","Aktif"
"Soyulmuş Taşköprü Sarımsağı (100 g)","Meyve & Sebze","Sebze","+4","25","11","₺6,45","","Aktif"
